lui    xxxxxxxxxxxxxxxxxxxxxxxxx0110111
auipc  xxxxxxxxxxxxxxxxxxxxxxxxx0010111
jal    xxxxxxxxxxxxxxxxxxxxxxxxx1101111
jalr   xxxxxxxxxxxxxxxxx000xxxxx1100111
beq    xxxxxxxxxxxxxxxxx000xxxxx1100011
bne    xxxxxxxxxxxxxxxxx001xxxxx1100011
blt    xxxxxxxxxxxxxxxxx100xxxxx1100011
bge    xxxxxxxxxxxxxxxxx101xxxxx1100011
bltu   xxxxxxxxxxxxxxxxx110xxxxx1100011
bgeu   xxxxxxxxxxxxxxxxx111xxxxx1100011
lb     xxxxxxxxxxxxxxxxx000xxxxx0000011
lh     xxxxxxxxxxxxxxxxx001xxxxx0000011
lw     xxxxxxxxxxxxxxxxx010xxxxx0000011
lbu    xxxxxxxxxxxxxxxxx100xxxxx0000011
lhu    xxxxxxxxxxxxxxxxx101xxxxx0000011
sb     xxxxxxxxxxxxxxxxx000xxxxx0100011
sh     xxxxxxxxxxxxxxxxx001xxxxx0100011
sw     xxxxxxxxxxxxxxxxx010xxxxx0100011
addi   xxxxxxxxxxxxxxxxx000xxxxx0010011
slti   xxxxxxxxxxxxxxxxx010xxxxx0010011
sltiu  xxxxxxxxxxxxxxxxx011xxxxx0010011
xori   xxxxxxxxxxxxxxxxx100xxxxx0010011
ori    xxxxxxxxxxxxxxxxx110xxxxx0010011
andi   xxxxxxxxxxxxxxxxx111xxxxx0010011
slli   00000xxxxxxxxxxxx001xxxxx0010011
srli   00000xxxxxxxxxxxx101xxxxx0010011
srai   01000xxxxxxxxxxxx101xxxxx0010011
add    0000000xxxxxxxxxx000xxxxx0110011
sub    0100000xxxxxxxxxx000xxxxx0110011
sll    0000000xxxxxxxxxx001xxxxx0110011
slt    0000000xxxxxxxxxx010xxxxx0110011
sltu   0000000xxxxxxxxxx011xxxxx0110011
xor    0000000xxxxxxxxxx100xxxxx0110011
srl    0000000xxxxxxxxxx101xxxxx0110011
sra    0100000xxxxxxxxxx101xxxxx0110011
or     0000000xxxxxxxxxx110xxxxx0110011
and    0000000xxxxxxxxxx111xxxxx0110011
